# source: MAM via sealed Tanakh token streams; license: CC BY-SA (MAM, he.wikisource); per-book stream sha256 in build-receipt-v1.json
work_id,unit_id,before_token_ordinal,kind,source_row_index,was_normalized_key
"tanakh/i-chronicles","i-chronicles-6-3",69851855,"setumah",1905,"ס"
"tanakh/i-chronicles","i-chronicles-6-13",69851924,"setumah",1974,"ס"
"tanakh/i-chronicles","i-chronicles-6-15",69851940,"petuchah",1990,"פ"
"tanakh/i-chronicles","i-chronicles-6-23",69851995,"setumah",2045,"ס"
"tanakh/i-chronicles","i-chronicles-6-28",69852015,"setumah",2065,"ס"
"tanakh/i-chronicles","i-chronicles-6-32",69852034,"setumah",2084,"ס"
"tanakh/i-chronicles","i-chronicles-6-34",69852061,"petuchah",2111,"פ"
"tanakh/i-chronicles","i-chronicles-6-38",69852087,"setumah",2137,"ס"
"tanakh/i-chronicles","i-chronicles-6-41",69852113,"setumah",2163,"ס"
"tanakh/i-chronicles","i-chronicles-6-44",69852134,"setumah",2184,"ס"
"tanakh/i-chronicles","i-chronicles-6-45",69852147,"setumah",2197,"ס"
"tanakh/i-chronicles","i-chronicles-6-46",69852160,"petuchah",2210,"פ"
"tanakh/i-chronicles","i-chronicles-6-47",69852176,"setumah",2226,"ס"
"tanakh/i-chronicles","i-chronicles-6-48",69852189,"setumah",2239,"ס"
"tanakh/i-chronicles","i-chronicles-6-50",69852210,"setumah",2260,"ס"
"tanakh/i-chronicles","i-chronicles-6-55",69852248,"petuchah",2298,"פ"
"tanakh/i-chronicles","i-chronicles-6-58",69852270,"setumah",2320,"ס"
"tanakh/i-chronicles","i-chronicles-6-60",69852281,"setumah",2331,"ס"
"tanakh/i-chronicles","i-chronicles-6-61",69852291,"setumah",2341,"ס"
"tanakh/i-chronicles","i-chronicles-6-66",69852327,"setumah",2377,"ס"
"tanakh/i-chronicles","i-chronicles-7-1",69852336,"setumah",2386,"ס"
"tanakh/i-chronicles","i-chronicles-7-2",69852358,"setumah",2408,"ס"
"tanakh/i-chronicles","i-chronicles-7-5",69852395,"setumah",2445,"ס"
"tanakh/i-chronicles","i-chronicles-7-13",69852484,"petuchah",2534,"פ"
"tanakh/i-chronicles","i-chronicles-7-19",69852544,"petuchah",2594,"פ"
"tanakh/i-chronicles","i-chronicles-7-29",69852644,"petuchah",2694,"פ"
