work_id,chunks,candidate_claim_links,unique_claims
tosefta-oktsin,1,613,502
tosefta-orlah,1,234,207
tosefta-parah,2,1977,1201
tosefta-peah,2,1568,1070
tosefta-pesachim,3,2524,1461
tosefta-rosh-hashanah,1,1216,837
tosefta-sanhedrin,4,3618,1976
tosefta-shabbat,4,3209,1841
tosefta-shekalim,2,1489,959
tosefta-sheviit,2,1654,1074
tosefta-shevuot,2,1560,1016
tosefta-sotah,5,4718,2511
tosefta-sukkah,2,1986,1347
tosefta-taanit,2,1481,1031
tosefta-tahorot,2,1700,1048
tosefta-temurah,1,1147,747
tosefta-terumot,3,2186,1347
tosefta-tevul-yom,1,560,445
tosefta-yadayim,1,822,582
tosefta-yevamot,3,2207,1250
tosefta-yoma,2,2464,1468
tosefta-zavim,1,1047,720
tosefta-zevachim,3,2408,1368
tov-halevanon,5,5211,2586
tractate-derekh-eretz-rabbah,3,2844,1735
tractate-derekh-eretz-zuta,1,1346,905
tractate-kallah,2,1568,1054
tractate-semachot,1,402,326
tractate-soferim,5,4529,2464
treatise-on-logic,3,2721,1418
tzavaat-harivash,4,4261,2189
tzidkat-hatzadik,16,11798,4472
yaarot-devash-i,29,17485,5829
yaarot-devash-ii,27,15896,5560
yahel-ohr-on-zohar,5,4994,2571
yakar-mipaz,4,4428,2348
yedei-moshe-on-bereshit-rabbah,3,2723,1704
yedei-moshe-on-devarim-rabbah,1,586,449
yedei-moshe-on-kohelet-rabbah,2,2367,1478
yedei-moshe-on-shemot-rabbah,2,2455,1558
yedei-moshe-on-shir-hashirim-rabbah,4,3352,1923
yedei-moshe-on-vayikra-rabbah,1,518,446
yefeh-anaf-on-eichah-rabbah,4,4356,2386
yefeh-anaf-on-esther-rabbah,2,1738,1152
yefeh-anaf-on-ruth-rabbah,2,1816,1211
yefeh-kol-on-shir-hashirim-rabbah,14,11295,4598
yefeh-toar-on-bamidbar-rabbah,1,914,672
yefeh-toar-on-bereshit-rabbah,7,6697,3200
yefeh-toar-on-devarim-rabbah,1,367,316
yefeh-toar-on-shemot-rabbah,5,5492,2840
yefeh-toar-on-vayikra-rabbah,3,3500,2017
yesod-hayirah,3,3042,1918
yesod-veshoresh-haavodah,25,14315,5077
yismach-moshe,52,22648,6427
zechariah,3,2298,1166
zephaniah,1,611,491
zera-kodesh,30,17660,5451
zohar-chadash,36,20303,5127
